 0.00000	0.00000
 0.60000	2.00000
 1.70000	3.20000
 3.50000	4.50000
 5.70000	5.70000
 8.50000	7.00000
 11.80000	8.20000
 15.60000	9.30000
 19.80000	10.30000
 24.30000	11.10000
 29.20000	11.60000
 34.30000	11.80000
 39.60000	11.80000
 44.90000	11.60000
 50.20000	11.10000
 55.50000	10.50000
 60.70000	9.80000
 65.80000	9.00000
 70.70000	8.10000
 75.40000	7.10000
 79.70000	6.10000
 83.80000	5.10000
 87.40000	4.10000
 90.70000	3.10000
 93.50000	2.30000
 95.80000	1.50000
 97.60000	0.90000
 99.00000	0.50000
 99.80000	0.20000
 100.00000	0.12000
 0.00000	0.00000
 0.50000	-0.80000
 1.60000	-1.40000
 3.10000	-1.80000
 5.20000	-2.00000
 7.70000	-2.10000
 10.60000	-2.00000
 13.90000	-1.80000
 17.50000	-1.50000
 21.40000	-1.10000
 25.70000	-0.70000
 30.10000	-0.40000
 34.80000	-0.10000
 39.60000	0.20000
 44.70000	0.40000
 49.80000	0.50000
 55.00000	0.70000
 60.10000	0.80000
 65.10000	0.80000
 70.00000	0.90000
 74.60000	0.80000
 79.00000	0.70000
 83.10000	0.60000
 86.90000	0.50000
 90.20000	0.40000
 93.10000	0.30000
 95.50000	0.10000
 97.50000	0.00000
 98.90000	-0.10000
 99.70000	-0.10000
